#,First Name,Lastname,Student ID Number,Faculty,Department,Degree,Transcript Grade(4/4),Transcript Grade(100/100),Transcript Grade Contribution,Total Points,Transcript Notu (4/4),Transcript Notu (100/100),Erasmus application CGPA with grades behind SE/UE,UE SE Sayı,UECGPA,ENG 101,ENG 102,Language Points,Transcript Points,Total Points,Duration Preferred,Preferred University #1,Preferred University #2,Preferred University #3,Preferred University #4,Preferred University #5,,,
,George,Davis,22000000,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.98,99.530,49.333,99.333,3.98,99.530,3.98,,3.98,A,A,50, 49.33 ,99.333,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Roskilde Universitesi,"ESIEA (Ecole Superieure d&#039;Informatique, Electronique et Automatique)",ESIEE Paris,,,
,Matt,Johnson,22000001,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.97,99.300,49.000,99.000,3.97,99.300,3.97,, 3.97 ,A,A,50, 49.00 ,99.000,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Saarland Üniversitesi,AGH University of Science and Technology,,,,
,Jennifer,Johnson,22000002,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.92,98.130,47.333,97.333,3.92,98.130,3.92,, 3.92 ,A,A,50, 47.33 ,97.333,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Roskilde Universitesi,Kingston University,Saarland Üniversitesi,,,
,George,Miller,22000003,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.81,95.560,43.666,93.666,3.81,95.560,3.81,, 3.81 ,A,A,50, 43.67 ,93.667,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Saarland Üniversitesi,ESIEE Paris,Roskilde Universitesi,,,
,Sam,Davis,22000004,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.79,95.100,43.000,93.000,3.79,95.100,3.79,,3.79,A,A,50, 43.00 ,93.000,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,,,,,,
,George,Garcia,22000005,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.71,93.230,40.333,90.333,3.71,93.230,3.71,,3.71,A,A,50, 40.33 ,90.333,Bahar Dönemi,Saarland Üniversitesi,Vrije Üniversitesi,Universita degli Studi di L&#039;Aquila,AGH University of Science and Technology,École Polytechnique Fédérale (EPF),,,
,Jennifer,Johnson,22000006,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.72,93.460,40.667,87.667,3.72,93.460,3.72,,3.72,A-,A,47, 40.67 ,87.667,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,AGH University of Science and Technology,,,,,
,Ann,Miller,22000007,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.72,93.460,40.667,87.667,3.72,93.460,3.72,,3.72,A-,A,47, 40.67 ,87.667,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,,,,,,
,George,Johnson,22000008,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.60,90.660,36.667,83.667,3.60,90.660,3.6,, 3.60 ,A-,A,47, 36.67 ,83.667,Bahar Dönemi,Vrije Üniversitesi,École Polytechnique Fédérale (EPF),Saarland Üniversitesi,AGH University of Science and Technology,Roskilde Universitesi,,,
,Sam,Brown,22000009,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.58,90.200,36.000,83.000,3.58,90.200,3.58,, 3.58 ,A-,A,47, 36.00 ,83.000,Güz Dönemi,Vrije Üniversitesi,Universita degli Studi di L&#039;Aquila,Roskilde Universitesi,École Polytechnique Fédérale (EPF),Kingston University,,,
